Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Approved LMIAs,Approved Positions,Postal_Code,Latitude,Longitude
Newfoundland and Labrador,High Wage,71516 Newfoundland & Labrador Inc.,"Paradise, NL A1L 1H6",13100-Administrative officers,Unknown,1,1,A1L 1H6,47.5291,-52.8814
Newfoundland and Labrador,High Wage,Aker Solutions Canada Inc.,"St. John's, NL A1C 6C9","72020-Contractors and supervisors, mechanic trades",Unknown,3,5,A1C 6C9,47.5124,-52.6729
Newfoundland and Labrador,High Wage,Game Changer Coaching Inc.,"Mount Pearl, NL A1N 5B7","50012-Recreation, sports and fitness program and service directors",Unknown,1,1,A1N 5B7,47.5194,-52.8122
Newfoundland and Labrador,High Wage,Genoa Design International,"Mt. Pearl, NL A1N 4R6",22212-Drafting technologists and technicians,Unknown,1,1,A1N 4R6,47.5194,-52.8122
Newfoundland and Labrador,High Wage,Hunt's Transport Ltd,"St. John's, NL A1A 5A1",73300-Transport truck drivers,Unknown,1,1,A1A 5A1,47.5986,-52.6926
Newfoundland and Labrador,High Wage,M & B Diner Ltd.,"Roddickton, NL A0K 4P0",13110-Administrative assistants,Unknown,1,1,A0K 4P0,52.7359,-57.9825
Newfoundland and Labrador,High Wage,Memorial University of Newfoundland and Labrador,"St. John's, NL A1C 5S7",41200-University professors and lecturers,Unknown,1,1,A1C 5S7,47.5124,-52.6729
Newfoundland and Labrador,High Wage,Newfoundland and Labrador Health Services,"Grand Falls-Windsor, NL A2A 1X3",31100-Specialists in clinical and laboratory medicine,Unknown,1,1,A2A 1X3,48.9332,-55.6649
Newfoundland and Labrador,High Wage,Seabase Newfoundland Limited,"St. John’s, NL A1A 5X7",10010-Financial managers,Unknown,1,1,A1A 5X7,47.5986,-52.6926
Newfoundland and Labrador,High Wage,Stanley's Trucking Ltd.,"CLARENVILLE, NL A5A 1Y9",12200-Accounting technicians and bookkeepers,Unknown,1,1,A5A 1Y9,48.1666,-53.9648
Newfoundland and Labrador,Low Wage,3T's Limited,"Woody Point, NL A0K 1P0",94142-Fish and seafood plant workers,Corporation,1,3,A0K 1P0,52.7359,-57.9825
Newfoundland and Labrador,Low Wage,67527 Newfoundland and Labrador Limited,"COME-BY-CHANCE, NL A0B 1N0",63200-Cooks,Unknown,1,2,A0B 1N0,47.327,-53.6609
Newfoundland and Labrador,Low Wage,Atlantican General Trading Ltd,"Paradise, NL A1L 0B9",13110-Administrative assistants,Unknown,1,1,A1L 0B9,47.5291,-52.8814
Newfoundland and Labrador,Low Wage,Barry Group Inc.,"Corner Brook, NL A2H 3E9",94142-Fish and seafood plant workers,Unknown,1,5,A2H 3E9,48.9156,-57.797
Newfoundland and Labrador,Low Wage,Canning Ventures Ltd,"Conception Bay South, NL A1W 3J1","33102-Nurse aides, orderlies and patient service associates",Unknown,1,4,A1W 3J1,47.5096,-52.9447
Newfoundland and Labrador,Low Wage,Dot's Bakery & Coffee Shop (2007) Ltd,"L'anse au Loup, NL A0K 3L0",62020-Food service supervisors,Unknown,1,1,A0K 3L0,52.7359,-57.9825
Newfoundland and Labrador,Low Wage,Icewater Seafoods,"Arnold's Cove, NL A0B 1A0",95107-Labourers in fish and seafood processing,Unknown,1,41,A0B 1A0,47.327,-53.6609
Newfoundland and Labrador,Low Wage,Indian Express LTD,"St.John's, NL A1A 5Z8",63200-Cooks,Unknown,2,2,A1A 5Z8,47.5986,-52.6926
